Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance,Population,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Median Sales Price
$'000s",Mean Sales Price,Annual median salesprice change,Annual change in sales Count,"Sales
No.",No. 1 Bedroom rented,No. 2 Bedroom rented,No. 3 Bedroom rented,No. 4 or more Bedrooms rented,No. Bedsitter rented,No. Not Specified rented,No. Total rents,"Median Weekly Rent for New Bonds
$",Annual change in Median Weekly Rent,Annual change in New Bonds Lodged,"New Bonds Lodged
No.","Total Bonds Held
No.",sum of speeding fines paid in 2015($),SalesNo
2073,10983,10983,108138,59788,0.72,7911,97417,65902,0.25,2730,-1408,-712,10983,112162,62666,10983,3836,683,0.09,979,196627,38800,0.08,933,124067,15913,0.76,8340,45685,20425,11721,320275,99337,15736,10724,10598,1120329029,8660,340425820.1,7627,21266239.28,115,161489,7616,21406201.4,8085,360219203.1,261,1316279,1880,1928,0.175,0.0682,47,108,272,209,288,5,20,902,663,0.003314286,-0.003157143,169,1804,81305,47
2074,14899,14899,104762,55859,0.68,10069,97554,66560,0.21,3114,-670,-282,14899,108610,59099,14899,3666,680,0.09,1275,165662,33663,0.08,1211,107048,13154,0.74,11083,44591,19867,15532,317915,106208,20943,14644,14512,1464826003,11813,436558389.7,10242,27533478.17,158,251004.69,10229,27765097.77,10813,461773341.6,322,1748379,1750,1721,0.1076,0.7273,95,160,400,276,314,5,20,1183,632,-0.044042857,0.243214286,232,2358,137270,95
2075,13796,13796,92346,53184,0.68,9313,94278,63552,0.22,2976,-1009,-799,13796,96265,55811,13796,3800,580,0.09,1217,162477,35468,0.08,1140,122946,15695,0.74,10177,37509,18266,14317,292735,87099,18644,13643,13482,1264292571,10922,366377249.7,9449,23728057.5,136,217469.32,9429,23911654.37,10019,386575101.6,307,1636606,1680,1649,0.1351,0.2034,71,96,362,225,371,5,20,1082,670.1428571,-0.013342857,-0.148814286,152,2161,150076,71
2076,15898,15898,94714,54697,0.71,11268,89592,63186,0.22,3567,-2324,-1280,15898,98530,57304,15898,3658,706,0.09,1381,380965,31699,0.08,1305,151342,13073,0.75,11959,38228,18008,16864,272568,90431,23776,15744,15578,1463120671,12773,423474371.4,11164,27267682.05,173,293716.29,11151,27535903.87,11797,446285307.8,462,2618009,1725,1839,0.2661,0.0167,61,103,251,386,368,5,83,1196,594.1428571,0.0049,0.166571429,260,2392,116980,61
2077,25855,25855,62381,50143,0.81,21052,67279,57622,0.18,4557,-3392,-2359,25855,64338,51955,25855,1932,595,0.09,2238,105103,24378,0.08,2095,86488,10248,0.76,19724,19491,13551,28000,113820,42661,34898,24696,24456,1468655499,19912,320905553.3,17085,26383969.33,314,319042.11,17068,26683412.32,18632,339918151,1049,6105773,700,802,0.0287,0.328,166,805,3112,762,278,35,540,5532,502.4285714,-0.036828571,-0.103185714,852,11064,171712,166
2079,4903,4903,66717,54031,0.82,4003,71432,60887,0.17,845,-3088,-1866,4903,69124,55963,4903,2351,724,0.09,451,68500,30000,0.09,442,45411,11250,0.79,3858,20717,14434,5403,154424,72734,7105,4603,4577,294967795,3814,66634956.19,3419,5491578.95,46,67879.81,3417,5558552.12,3595,70359942.74,149,803228,880,913,-0.0974,1.3571,33,63,112,134,92,5,20,428,519,0.005157143,-0.070628571,98,854,58821,33
2080,1114,1114,62861,48568,0.78,864,67291,55346,0.19,214,-2016,-1720,1114,65252,51394,1114,2376,622,0.1,106,71715,37700,0.09,100,35513,14662,0.74,826,20503,13876,1237,160214,79322,1573,1095,1084,66157746,859,14750079.07,757,1211349.6,15,19698.38,757,1231047.98,798,15629481.33,39,221891,837,910,0,0,5,5,5,20,20,0,5,52,502,0,0,30,107,14391,5
2081,3499,3499,67909,52213,0.82,2865,71739,59315,0.18,628,-2362,-1726,3499,70255,54159,3499,2314,663,0.09,324,63994,27923,0.09,311,35312,10359,0.77,2708,21839,14604,3907,163291,84740,5166,3442,3422,225385207,2843,51776361.49,2567,4212009.68,35,35668.62,2566,4246670.18,2689,54994485.89,104,510207,1129,1106,0.0259,1.4,20,20,35,74,61,5,20,217,523.8571429,0.040614286,-0.047614286,50,432,31653,20
2082,3383,3383,67097,51713,0.8,2709,70270,59239,0.17,592,-1264,-716,3383,69347,53711,3383,2214,611,0.1,322,63166,36636,0.09,304,36113,13727,0.76,2572,21852,14850,3820,169142,93117,5654,3352,3342,223036618,2745,52554069.24,2454,4154819.45,33,40282.01,2452,4193727.76,2555,55666779.72,85,501249,837,910,0,0,5,5,20,91,36,5,20,164,515.2857143,-0.009,0.030614286,50,341,28567,5
2083,1039,1039,62167,45650,0.74,770,67230,52330,0.19,202,1803,1754,1039,64746,47956,1039,2442,600,0.13,135,55391,22104,0.12,125,39455,11885,0.74,766,20136,11863,1218,182381,78995,1544,1055,1045,65598005,854,15045911.93,731,1196810.46,18,26956,730,1223582.14,768,15819337.28,50,312753,837,910,0,0,5,20,37,51,20,5,5,137,494.5714286,0.004085714,0.2619,50,275,15496,5
2084,2539,2539,98557,55569,0.7,1778,79068,55073,0.19,487,2614,714,2539,103337,58520,2539,4645,600,0.1,250,113975,31932,0.1,243,76089,13737,0.76,1937,39881,16992,2723,347180,91794,3535,2468,2444,251008193,2000,76229498.75,1795,4806069.59,35,57346.01,1793,4863312.86,1862,81397782.19,61,298790,837,910,0,0,5,20,20,48,50,0,5,134,502,0,0,30,277,34820,5
2085,7365,7365,75271,48359,0.72,5298,79842,57991,0.18,1311,805,-197,7365,78320,50596,7365,2923,616,0.08,614,89848,28980,0.08,588,58967,11999,0.73,5380,28070,15122,8000,215487,94961,10707,7282,7237,530008923,5754,135501407.8,4952,9792049.32,74,95039.75,4941,9877430.75,5215,143171173.2,164,842391,1640,1517,0.312,-0.2,20,20,20,100,187,5,5,338,697.5714286,0.0094,-0.145828571,80,675,44946,20
2086,8616,8616,78957,53158,0.78,6698,80928,60000,0.2,1699,392,-168,8616,81797,55294,8616,2773,710,0.09,815,75545,33744,0.09,784,46407,13350,0.77,6629,28185,15943,9693,184513,86414,13192,8502,8431,644079402,6945,165524136.3,6099,12023348.34,79,116821.97,6094,12133827.21,6416,175326173.1,191,962777,1610,1614,0.269,0.0263,39,51,53,221,212,5,20,571,679,-0.001928571,-0.093657143,108,1133,52143,39
2087,8006,8006,83653,51414,0.72,5770,86263,61451,0.22,1769,1571,608,8006,86787,53918,8006,3059,621,0.09,750,104415,33274,0.09,714,72096,12824,0.75,5978,31962,16522,8727,228390,86722,12290,7890,7825,624662949,6344,166023787.7,5506,11615280.51,105,144049.24,5504,11757179.58,5843,175300979.3,219,1179561,1830,1868,0.1806,0.5263,20,72,105,188,215,5,20,610,692.2857143,0.026885714,0.226971429,126,1215,59402,20
2088,20331,20331,171904,71043,0.67,13564,129262,71048,0.2,4080,3183,1341,20331,179067,75359,20331,6887,1006,0.1,2031,151472,35399,0.09,1927,84625,13566,0.8,16232,78132,22938,22448,500320,96280,27452,20182,19940,3206855546,17160,1110450039,15109,60962537.55,424,876001.16,15092,61576856.72,16137,1165343349,402,2192257,1310,2466,-0.2362,0.4118,120,1153,1635,563,276,38,291,3956,800.5714286,-0.045685714,-0.060371429,696,7912,116556,120
2089,8989,8989,106505,69063,0.78,7002,98176,75102,0.19,1684,89,-162,8989,111347,72670,8989,4726,993,0.1,863,156233,25442,0.09,810,116608,10840,0.83,7479,39686,19688,10574,264957,61802,11082,9033,8951,909715327,7872,263299138.9,6850,16817293.38,242,381449.1,6835,17183078.64,7451,277710153.6,234,1275980,1098,1363,-0.0101,0.5455,68,889,1375,426,63,107,240,3100,559.2857143,-0.038885714,0.151028571,574,6200,47194,68
2090,9518,9518,124346,71519,0.75,7153,106724,77953,0.2,1859,1870,112,9518,129331,75217,9518,4796,940,0.1,928,117389,29698,0.09,874,58948,10830,0.82,7781,50291,21646,11068,305479,80341,13023,9424,9330,1067599535,8157,325883723.9,7155,19912051.67,250,328703.34,7143,20164235.05,7674,344436126.1,164,947257,1305,1689,0.0357,0.1111,60,628,1259,418,82,42,214,2643,748.5714286,-0.024657143,0.1213,485,5286,44850,60
2092,4602,4602,142874,61881,0.71,3274,110441,64912,0.22,1013,4013,1059,4602,149462,65379,4602,6364,770,0.09,425,127052,45379,0.09,399,72574,15646,0.79,3637,63669,20414,5063,305254,102392,6728,4655,4598,580612670,3873,187986678.1,3443,11080432.12,76,139237.55,3440,11214605.7,3620,198758294.3,102,583373,2700,2614,0.3059,0.375,20,20,61,115,129,0,20,343,828.5,-0.012066667,0.001583333,94,688,29657,20
2093,15375,15375,109796,59247,0.76,11667,99192,62271,0.18,2788,2043,256,15375,113783,62254,15375,3820,841,0.1,1569,108383,32625,0.1,1488,71070,12522,0.8,12295,43890,17823,17305,235017,78070,21611,15063,14947,1526639543,12598,454736856.5,11132,28943218.23,212,327861.39,11121,29260283.16,11841,482852928.3,382,2007981,1870,1998,0.0491,0.3594,87,379,1145,361,210,20,77,2186,726.7142857,-8.57E-05,0.071985714,438,4378,88653,87
2094,4351,4351,107648,66018,0.77,3340,97043,68672,0.18,803,4099,1185,4351,112021,69393,4351,4300,1050,0.1,437,106082,34750,0.1,416,69026,14500,0.82,3557,40977,19436,5099,257813,70626,5491,4333,4309,447818911,3703,131912926.2,3283,8464282.96,113,160408.68,3278,8620168.54,3487,139617549.3,92,532333,1805,1822,0.068,-0.0571,33,166,423,211,44,5,20,873,659.4285714,-0.021257143,-0.039357143,189,1742,21995,33
2095,12370,12370,130679,65537,0.77,9569,99934,68172,0.17,2145,4082,1723,12370,134820,68973,12370,3999,800,0.1,1291,99614,29280,0.1,1202,64274,11440,0.83,10221,45937,19409,15973,234563,37579,15074,12323,12238,1386674509,10556,428582250.1,8908,25471625.65,415,563457.78,8905,26003171.77,9972,455220666,251,1466732,1701,1904,0.296,0.1964,67,1039,1690,599,106,104,188,3726,784.5714286,-0.104814286,0.436014286,1060,7452,67312,67
2096,10386,10386,99791,61941,0.79,8208,91958,65040,0.19,1937,610,122,10386,103393,65066,10386,3520,911,0.12,1241,110542,31206,0.11,1192,73982,12246,0.82,8547,36856,17290,12266,193240,60679,13875,10108,10049,947065813,8812,266658902.6,7831,17835069.53,192,280675.8,7824,18062935.51,8358,282706020.8,249,1328208,1210,1649,0.2474,-0.2,60,488,1283,242,108,20,97,2229,766,-0.008157143,0.105742857,504,4467,62299,60
2097,10584,10584,81762,53387,0.77,8140,76683,56594,0.21,2170,1842,352,10584,85437,56048,10584,3594,715,0.11,1134,81226,32830,0.1,1093,51656,12675,0.79,8394,28856,14685,12170,199379,62611,14388,10464,10405,856979211,8814,231400151.4,7669,15964419.92,126,179084.47,7663,16138264.14,8232,245975999.5,257,1494211,1173,1443,-0.1379,0.2571,44,197,617,232,156,5,50,1257,672,0.023057143,0.0963,260,2514,65658,44
2099,27327,27327,69891,49758,0.81,22030,68808,54446,0.16,4330,643,-442,27327,72806,51899,27327,2837,701,0.11,3128,91557,29888,0.11,2940,67582,12286,0.79,21621,22727,12302,30976,128231,48478,36685,26514,26347,1745598279,22241,410535812,18907,31533543.45,345,438906.71,18896,31964989.35,20760,435300681.6,910,5023552,980,1138,0.1395,0.2128,171,1325,2885,619,263,43,244,5379,648.4285714,-0.017771429,-0.024857143,974,10758,171089,171
2100,14201,14201,74681,51741,0.79,11158,75055,55894,0.19,2685,2773,439,14201,77453,53994,14201,2682,696,0.11,1582,706651,33113,0.11,1519,703420,12566,0.79,11180,25129,13951,16058,148383,62187,19445,13875,13806,996645364,11664,246304584.2,10204,18450013.48,160,237742.97,10196,18676949.84,10879,261221905.3,390,2122207,1551,1453,0.3723,0.098,56,355,401,329,226,20,74,1404,644.2857143,-0.006085714,0.097028571,289,2809,81396,56
2101,12820,12820,76120,51044,0.74,9492,72117,56300,0.19,2399,1754,161,12820,79293,53686,12820,3128,700,0.12,1533,98366,38227,0.12,1494,68106,15028,0.78,10016,26192,13875,14152,184730,67976,17980,12619,12534,904401284,10624,223935107.8,9164,16496383.56,160,245067.55,9156,16716156.83,9785,236456381.3,340,2033936,1260,1320,0.0957,0.4865,55,361,880,295,153,20,80,1781,678.8571429,0.010185714,-0.114028571,305,3570,94604,55
2102,4806,4806,77488,53660,0.77,3715,75705,59422,0.19,904,270,-962,4806,80495,56008,4806,2973,768,0.11,512,71238,30920,0.1,493,42344,13626,0.78,3754,26849,15072,5231,168256,77587,6144,4747,4709,355688899,3981,90520628.67,3532,6635342.1,57,64605.06,3532,6699246.37,3741,96297891.7,114,684771,1190,1300,-0.0083,0.2273,20,37,173,135,87,0,20,454,640.1666667,0.00575,-0.069133333,101,906,33697,20
2103,7429,7429,74826,50820,0.71,5291,73585,54999,0.2,1457,3797,1225,7429,78132,53414,7429,3075,650,0.11,808,120082,38610,0.11,782,86740,15168,0.76,5675,26171,14410,8116,245340,83057,10164,7407,7362,545694410,6090,139649966.9,5242,10050195.56,85,116948.03,5237,10156420.92,5573,147170641.1,191,1093966,1460,1513,0.0896,-0.0937,20,146,400,221,95,5,33,900,578,-0.014657143,0.078457143,144,1800,57388,20
2104,2431,2431,102946,50617,0.59,1441,83213,53846,0.19,458,5682,3718,2431,107412,54372,2431,4353,607,0.1,251,169231,29811,0.1,237,134166,13589,0.73,1779,43982,16151,2547,461465,116514,3091,2411,2389,229638257,1950,68140044.89,1651,4268131.12,26,40275.48,1645,4291426.02,1744,70024479.78,42,223225,837,910,0,0,5,5,20,20,33,0,5,76,621.6666667,0.036666667,0.016666667,45,159,22621,5
2105,1414,1414,105646,52016,0.64,907,79772,50755,0.19,264,6772,3502,1414,109926,55471,1414,4055,592,0.14,195,95147,31632,0.13,187,56169,12247,0.75,1054,45618,17071,1604,349883,101782,1835,1398,1389,138467051,1142,41555423.71,1001,2628108.37,21,31771.23,1002,2659656.26,1054,43989634.7,27,129940,1208,1528,-0.3109,1,20,20,20,20,20,0,5,80,502,0,0,30,165,19607,20
2106,6820,6820,92436,52192,0.72,4905,73601,53996,0.19,1296,3709,1504,6820,99326,54872,6820,6745,685,0.12,840,118144,38558,0.12,792,87641,16849,0.77,5251,36514,14670,7651,280172,78638,9036,6769,6703,596858119,5590,170191917.8,4914,11232057.05,77,139905.05,4905,11346878.66,5203,180798143.7,176,849254,1700,1702,0.3655,0.6957,39,168,336,168,113,20,20,820,679.5714286,0.002157143,-0.013885714,166,1645,58465,39
2107,10378,10378,88665,49378,0.68,7017,75801,52000,0.19,2010,4796,2144,10378,93063,52350,10378,3942,631,0.14,1456,88237,34972,0.13,1383,58925,13983,0.75,7778,35220,14805,11610,305522,78022,14464,10219,10131,860380958,8261,240837210.7,7179,16076964.65,124,186422.04,7174,16250291.25,7579,254250747.3,276,1511240,2100,2191,0.2353,-0.0377,51,123,200,196,191,20,31,754,720.2857143,-0.014628571,0.078385714,159,1515,80278,51
2108,1284,1284,147940,55034,0.53,678,79891,50000,0.23,291,9249,6327,1284,157170,59388,1284,8960,842,0.12,148,194022,31606,0.11,139,128619,17525,0.73,939,72648,19766,1409,909151,121063,1900,1279,1259,294592043,1022,113650744.1,886,5750518.18,32,57256.65,882,5802693.41,933,121370478.8,28,162252,837,910,0,0,5,20,32,44,31,5,20,135,561.7142857,-0.010771429,0.032971429,50,287,13494,5
2110,6264,6264,177615,67339,0.67,4203,109786,65000,0.25,1594,4889,1680,6264,193533,71563,6264,15477,856,0.1,628,241335,45870,0.1,603,146063,22698,0.79,4942,83964,22618,6680,509731,113705,9807,6104,6043,952643276,5123,329402975,4596,18455141.41,83,172414.41,4595,18623118.33,4811,351567900,144,864418,2900,2721,0.1485,-0.0333,20,62,201,153,95,5,20,539,650.5714286,-0.003214286,-0.020571429,110,1075,54120,20
2111,9490,9490,91567,59718,0.77,7327,83742,64376,0.21,2020,1263,-122,9490,94971,62166,9490,3346,804,0.1,952,149616,32015,0.09,889,102131,12304,0.8,7559,33840,17190,10644,213514,76237,13424,9312,9258,814924847,7887,223663898.6,7023,15378849.95,138,164384.71,7020,15532632.8,7419,237663813.9,312,1891881,805,1235,-0.4252,0.4167,68,434,923,310,126,20,75,1885,515.5714286,-0.028757143,-0.0396,358,3773,76640,68
2112,22008,22008,69169,49786,0.79,17448,69144,56934,0.22,4877,-1785,-1443,22008,71841,51808,22008,2555,650,0.1,2119,109852,29440,0.09,1979,82682,13100,0.76,16795,23306,13558,23630,133936,45441,27771,20739,20567,1342775138,16964,312924681.1,14608,24424671.57,303,365894.15,14598,24769670.68,15822,331820920.9,799,4695305,810,1035,-0.0471,0.1628,150,1189,2270,837,333,20,177,4823,565.5714286,-0.044442857,-0.184457143,909,9649,162994,150
2113,14184,14184,68148,52999,0.81,11469,72362,60583,0.2,2900,-2852,-1904,14184,70586,55090,14184,2356,600,0.08,1169,97357,25600,0.08,1103,73178,10863,0.76,10793,22598,15071,15483,125937,43892,16800,13108,12989,856606926,10632,199586992.3,9027,15260422.12,177,202290.35,9020,15443801.9,9915,210980682.1,445,2636800,865,990,-0.2311,0.8333,121,1388,1673,483,233,5,72,3857,580.5714286,-0.010985714,0.112928571,1003,7711,104085,121
2114,15735,15735,63076,49372,0.81,12691,66419,57209,0.21,3302,-2405,-2094,15735,65219,51375,15735,2057,575,0.09,1432,111995,23988,0.08,1324,96575,9802,0.76,11938,20201,13190,17300,123479,38772,21476,15461,15321,931080554,12590,205000148.9,10721,16575223.69,204,231356.77,10714,16802526.89,11799,217693852.2,617,3715980,695,946,-0.1836,0.25,70,1006,1913,635,176,36,124,3890,535.5714286,-0.027771429,-0.1199,746,7780,109118,70
2115,6775,6775,58771,48001,0.82,5529,62768,55018,0.2,1359,-3426,-3096,6775,60936,49965,6775,2140,639,0.1,654,72052,29964,0.09,614,51264,14948,0.76,5169,17551,12312,7495,101034,41973,9471,6462,6413,375360869,5323,79933031.5,4433,6464828.78,66,78874.96,4432,6532574.17,4989,84767025.8,343,2076235,1035,1013,0.0561,0.5217,35,83,371,305,186,5,36,982,524.1428571,-0.033985714,-0.116342857,208,1968,67115,35
2116,3848,3848,56584,46292,0.82,3153,61869,53628,0.18,678,-3787,-2020,3848,58825,47978,3848,2218,685,0.11,425,61616,28679,0.1,401,42610,10278,0.77,2953,16396,11594,4381,100241,40340,6218,3775,3737,206318203,3082,41957524.38,2615,3668017.41,44,52417.09,2615,3720434.5,2856,44574151.92,217,1322063,1140,1046,0.7565,0.1818,20,55,158,242,91,5,20,573,518.4285714,-0.014014286,-0.196842857,120,1144,37145,20
2117,12652,12652,58758,44500,0.77,9769,61035,51930,0.21,2686,-2765,-2608,12652,61037,46302,12652,2239,528,0.1,1231,84516,29072,0.09,1134,65318,14929,0.74,9377,18548,11544,13754,122514,39416,19019,12231,12105,686565860,9838,149919914.5,8273,12356019.41,130,153394.1,8267,12502339.18,9048,158885732.8,681,4101056,1173,1141,0.1848,0.2,54,115,464,691,384,5,96,1755,512.2857143,-0.042057143,-0.055757143,276,3510,137526,54
2118,15858,15858,56369,41746,0.74,11698,63071,52527,0.26,4104,-2617,-2113,15858,58502,43560,15858,2086,450,0.1,1568,87146,30175,0.09,1459,64612,11735,0.71,11195,18423,11879,16605,140990,41953,21570,15327,15118,846005136,11738,183482577.7,9821,14929152.52,153,180668.39,9814,15102743.9,10749,193716556.4,755,4508579,1005,1066,0.0361,0.6154,63,168,1065,778,401,5,117,2530,508.1428571,-0.020114286,-0.138171429,438,5064,155287,63
2119,7999,7999,88901,55101,0.72,5757,85001,63069,0.26,2113,-1508,-1150,7999,92490,58189,7999,3447,700,0.08,678,133969,35990,0.08,627,80515,13248,0.75,5975,35017,18282,8412,305613,106772,10903,7801,7730,669096405,6243,185621811.9,5496,12603879.56,65,64634.82,5493,12652107.37,5799,196403888.2,213,1121960,1755,1817,0.1323,0.2105,20,106,131,141,168,5,39,587,554.1428571,-0.057128571,-0.036328571,131,1177,53262,20
2120,13158,13158,71619,52172,0.77,10164,77473,61948,0.21,2759,-2228,-1513,13158,74197,54656,13158,2542,665,0.08,1112,89964,25334,0.08,1058,65256,10212,0.75,9881,24773,15789,15003,181413,77200,19626,12986,12877,892471253,10352,215898346.9,9127,16519634.76,145,169243.36,9120,16671162.45,9638,228228020.6,436,2471111,1383,1232,0.4345,0.25,50,137,251,401,269,5,61,1120,549.1428571,-0.001685714,-0.052485714,177,2244,101577,50
2121,20358,20358,67499,45778,0.75,15334,70379,56366,0.25,5141,-2890,-2088,20358,70023,47990,20358,2465,468,0.08,1675,435536,26089,0.08,1553,439420,10520,0.72,14657,24471,13911,21047,171551,42882,24617,18629,18355,1193217445,14379,286161262,11998,21347711.13,217,271803.2,11988,21607977.11,13207,302727816.5,732,4198218,870,1138,-0.1343,0.4512,119,549,1896,764,413,20,93,3732,549.1428571,-0.0424,-0.089071429,641,7467,128300,119
2122,19925,19925,57140,41250,0.75,14918,61832,51888,0.25,4905,-2018,-1952,19925,59248,42934,19925,2042,412,0.09,1808,82232,28053,0.08,1659,61025,11720,0.7,13931,19312,12112,21903,131616,32810,28545,19754,19472,1083599177,14955,237176506,12231,18977853.71,204,240986.66,12226,19213331.79,13638,249922543.4,893,5666339,1076,1347,0.115,-0.2769,47,268,1622,776,369,20,115,3164,510.5714286,-0.035714286,-0.084185714,546,6334,134831,47
2125,11214,11214,81002,53087,0.74,8346,82179,61364,0.27,3063,-2936,-1565,11214,84375,55880,11214,3278,628,0.08,851,133098,34000,0.07,811,91229,14239,0.75,8379,30567,16725,12146,244232,83242,15966,11129,11030,881945278,8852,236279647.8,7853,16602535.31,109,130771.11,7845,16726592.41,8239,250768434.4,308,1576491,1802,1718,0.3559,-0.0385,20,38,50,168,291,5,20,580,605.4285714,0.047042857,0.031014286,103,1152,108693,20
2126,12194,12194,69732,49362,0.77,9362,77300,60902,0.28,3389,-4302,-2873,12194,72389,51628,12194,2580,648,0.08,951,105211,27201,0.07,883,84780,11519,0.73,8960,24581,15436,13092,184626,70794,18779,12051,11935,810802445,9509,196454475.3,8337,14902880.4,142,176028.43,8330,15071367.31,8858,207605846.3,343,1837624,1500,1472,0.1538,0.381,20,20,34,271,473,5,56,847,588.2857143,0.005214286,-0.009871429,136,1706,117022,20
2127,12053,12053,63176,53014,0.84,10120,69193,61054,0.2,2445,-6367,-4924,12053,65580,55207,12053,2329,719,0.11,1306,61850,23398,0.1,1183,42390,11038,0.78,9453,19226,13854,12356,84600,30857,8144,10329,10218,646948289,8575,144557569.2,7336,11509312.05,205,243776.85,7328,11744454.6,8116,153830412.9,348,1973190,700,731,-0.0175,0.9531,125,1659,2442,458,79,20,87,4739,579.8571429,-0.028885714,0.2286,1233,9484,109193,125
2128,1405,1405,50150,43865,0.8,1119,54649,51498,0.15,207,-1636,-2426,1405,52086,45418,1405,1737,500,0.16,228,88749,37624,0.16,220,68549,16214,0.78,1095,12896,9727,1581,54862,21549,3163,1380,1366,68946476,1129,13111625.63,924,1174871.49,24,26742.3,924,1201613.79,1056,14008858.75,106,546641,837,910,0,0,5,72,117,106,20,0,31,343,485.8333333,-0.016666667,-0.087716667,45,689,20122,5
